ligand,siRNA,Normalized_CellCount_Run1,Normalized_CellCount_Run2,Normalized_CellCount_Run3,Median_Proliferation,Proliferation_SD,Run1_Motility,Run2_Motility,Run3_Motility,Median_msd,msd_SD,Run1_Cyto,Run2_Cyto,Run3_Cyto,Median_cyto,cyto_SD,Run1_neighbors,Run2_neighbors,Run3_neighbors,Median_neighbors,neighbors_SD,Normalized_Similarity_Run1,Normalized_Similarity_Run2,Normalized_Similarity_Run3,Median_similarity
OSM,CTNNB1,1.241060985797828,0.958702253712825,1.034684267818821,1.034684267818821,0.14611129877370932,0.9667654689938218,0.8431933252930094,0.8780014393407054,0.8780014393407054,0.06371908722749534,1.0239651416122004,1.176551724137931,1.1852459016393442,1.176551724137931,0.0907099199318362,1.1140041953991304,1.317104319740129,1.2841661444981955,1.2384248865458183,0.1090028079277397,0.5509928743519291,0.8548670473130338,0.7449237711282857,0.7449237711282857
EGF,STAT3,0.8825447748971551,0.7536426500258366,0.951153991738896,0.8825447748971551,0.10027770817191536,1.329567673993458,2.618864984626365,1.2626233086891827,1.329567673993458,0.7644344954278441,1.0049706281066426,1.2682926829268293,1.0587016574585637,1.0587016574585637,0.1391365791987508,1.01505461051046,0.9899710415341806,1.0408027752756133,1.0152761424400847,0.025416590961158794,0.5659850252060712,0.9265928369542188,0.6714006320717769,0.6714006320717769
IFNG,STAT3,0.7511245248127623,0.7170710739291489,0.8599326039798476,0.7511245248127623,0.07461931427534926,1.914863284738284,1.8000325812414395,1.3996856528461297,1.8000325812414395,0.2704538611122507,0.8475073313782991,1.316446402349486,1.0394321766561514,1.0394321766561514,0.23575265277925117,1.0198994747278762,1.014027119637874,1.003023740743658,1.0123167783698028,0.008566886821738435,0.7881713767937001,0.5698844546534905,0.6664805241971046,0.6664805241971046
OSM,STAT3,1.226980352670337,0.8986664892594728,1.0054909699200507,1.0054909699200507,0.16746094532122632,1.537197620796868,1.939437710086923,1.693864369498557,1.693864369498557,0.2027510070622581,1.1111111111111112,1.0841379310344827,1.159016393442623,1.1111111111111112,0.03792372311916678,1.1401062207253208,1.3592027388829109,1.3904158645396854,1.296574941382639,0.13640165032513285,0.5902820805780756,0.5738320218246623,0.5048944276529155,0.5738320218246623
EGF,FOSL2,0.8705362784485166,0.8154736342340907,0.8380859273895431,0.8380859273895431,0.027677415201698252,1.0822868131881993,0.9098240970679456,0.9995411097661678,0.9995411097661678,0.0862548377907726,1.3574237954768928,1.3876177658142663,1.163849154746424,1.3574237954768928,0.12141884029939198,0.9782524945722264,0.961534843,0.96313093,0.9676394225240755,0.009225770816160777,1.0561640415681717,0.9285696647494412,1.3561069675366555,1.0561640415681717
IFNG,FOSL2,0.8719902669198581,0.9256686527929084,0.905242224494472,0.905242224494472,0.027093359473959574,1.3288267467738608,0.8198118358035195,0.9763021734500266,0.9763021734500266,0.2607230267812996,1.0898876404494382,1.1587628865979382,1.2111581920903955,1.1587628865979382,0.060821616586219436,1.009765443412236,1.0325514281515145,0.979840054,1.0073856418545835,0.026436146330840127,1.058572358754535,0.8939951416235761,1.2076083396426835,1.058572358754535
OSM,FOSL2,0.9659493315169064,0.726687940190624,0.7980336233995737,0.7980336233995737,0.12283586943864398,1.23287172048631,1.0010704028290829,1.0423399413613528,1.0423399413613528,0.12365097690328121,1.1664611590628853,1.2167414050822123,1.1652242328874902,1.1664611590628853,0.02939289074211674,0.9969869951520332,0.8488977708845519,0.9770380803431352,0.9409742821265734,0.08036201056711906,0.9872456010295464,1.0196305457338517,0.7503181281806642,0.9872456010295464
EGF,NFKB1,0.8564336898602274,0.8764240969971524,0.8917761815445225,0.8764240969971524,0.017721900744108007,0.8023229749879166,1.1257418031790836,0.48067759368322927,0.8023229749879166,0.3225325110526836,1.0709444193402622,1.255380200860832,1.1961325966850829,1.1961325966850829,0.09416201981388943,0.982168104,0.9033167792423478,0.9616837295861532,0.949056204276167,0.040914223084398675,0.9148480517931435,1.066140872541529,1.5304941249517865,1.066140872541529
IFNG,NFKB1,0.9118011766878612,0.990898476404364,1.0149153199519036,0.990898476404364,0.053953248492725536,0.8582110910126541,0.4518256730245061,0.6433429635190299,0.6433429635190299,0.20330448950788976,1.0791788856304985,1.1395007342143906,1.1940063091482649,1.1395007342143906,0.05743825715087273,0.9107324299661466,0.9111477535815992,0.904158603,0.9086795955159153,0.003920797549365384,1.1735115474395004,0.8769510273525415,0.5974984451127355,0.8769510273525415
OSM,NFKB1,0.8524408366047863,0.7593920363169073,0.7512743538621557,0.7593920363169073,0.05621185111398478,0.8114207623882695,0.5385680728564164,0.5318907238591927,0.5385680728564164,0.15949410627275218,0.8164488017429193,0.883448275862069,0.8918032786885246,0.883448275862069,0.04130583655332185,0.8885020826892877,0.8190705622735325,0.8209079632677602,0.8428268694101935,0.03956656216644878,0.8285351212932139,0.8684648083051186,0.8664410269797312,0.8664410269797312
